,event_name,date,description,line_up,event_link,place,city,park_name,park_link,park_latitude,park_longitude,attracion_link,event_latitude,event_longitude
1842,Tony Humphries' Le Bain Residency,5/23/2020,,Tony Humphries,https://www.residentadvisor.net/events/1385536,Le Bain,new york,Echo Mountain Picnic Site,https://www.rei.com/campgrounds/camp/115201857/echo-mountain-picnic-site,34.2118,-118.1211,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.7408533', '-74.0080841942828'
1843,"Multiple Man, Figure Section",5/23/2020,"SYNTHICIDE presents /  / //LIVE// /  / MULTIPLE MAN / // Fleisch, DKA / // https://multiple-man.bandcamp.com/ /  / Figure Section / // [aufnahme + wiedergabe] / // https://aufnahmeundwiedergabe.bandcamp.com/album/spectre /  / 11p // 21+ / Saint Vitus Bar /  / Flyer by Kelsey Niziolek /  / join SYNTHICIDE's mailing list: http://eepurl.com/gjHx_H","Multiple Man, Figure Section",https://www.residentadvisor.net/events/1404933,Saint Vitus,new york,Angeles National Forest Supervisor's Office,https://www.rei.com/campgrounds/camp/115210435/angeles-national-forest-supervisors-office,34.1481,-118.0338,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.73678825', '-73.95501715'
1844,NYC Memorial Day Sunday Yacht Party Cruise 2020,5/24/2020,$20.00 + $2.50Early bird,TOP NYC DJS,https://www.residentadvisor.net/events/1401616,Skyport Marina,new york,Inspiration Point Interpretive Site,https://www.rei.com/campgrounds/camp/115201871/inspiration-point-interpretive-site,34.2215,-118.1094,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.7440859', '-73.995641'
1845,Disorient presents: Country Club X: Astrodynamica,5/24/2020,"A secret upstate New York location - year 10 of our self reliant weekend of camping, music, interactive art, and creative technology. /  / Join Disorient for year 10 of our annual journey of deep chilling, off-the-grid futurist relaxation. Country Club is a lake and lush green woodland oasis where blissful self-reliance meets massive multiplayer techno and technology participation. Explore a constantly shifting blank canvas of music, art, and performance. Country Club is a fundraiser organized by an all volunteer team. All profits are used for Disorient art creations at Burning Man. /  / -2020 THEME- / Disorient Country Club 2020 Theme: ASTRODYNAMICA / ASTRODYNAMICA: branch of astronomy that studies the motion of natural and artificial bodies in space. For this theme we are exploring retrofuturist intermodulation, planispheres, objects of orbit, imagined mars colonization via 1960s mainframes, real and artificial moons, satellite dish mania, LED and incandescent light, MASERS/LASERS, extra planetary survivalist built structures, programmer heroics, accelerationism, swarm technology, cross discipline dreaming. /  / -VIBES BY YOU!- / Disorient Country Club is an ephemeral dream that exists for one weekend only. Discover an ever growing and morphing participant-generated weekend of art, theme camps, art cars, art boats, and electronic and live music. Bring what you love! Join us with your creative output and share it in the beautiful tapestry woven wildly in our green forest hideaway.  /  / TICKETS: https://countryclubxastrodynamica.eventbrite.com / VOLUNTEER: https://tiny.cc/axwniz / SUBMIT ART: https://tiny.cc/vuaejz / THEMECAMPS PLACEMENT REQUEST FORM: https://tiny.cc/ngwniz / SUBMIT EVENT OR WORKSHOP TO SURVIVAL GUIDE: https://tiny.cc/awwniz / DISORIENT WIKI: http://wiki.disorient.info/index.php?title=Country_Club / SURVIVAL GUIDE:SOON /  / -HOW DO I GET THERE?- / Our event takes place near Shandaken, NY, 2 ½ hours north of NYC. / We will release the exact location the week of the event.  /  / DRIVING: 2 ½ hours north of NYC. Exact location released week of 5/21. / FLYING: We recommend flying into Newark-EWR and renting a car from the airport. For this option expect 2 ½ hours of drivetime up. Alternatively, fly into Albany-ALB- with a 1 ½ hour drive to gate. / UBER/LYFT/ETC: People have done it, prices vary / RIDESHARE FROM NYC: Check the Rideshare board and the FB event page tiny.cc/ipyniz / BUS: Take the Trailways bus to Phoenicia and arrange a friend onsite to scoop you up. Phoenicia Trailways Bus stop is 10 mins away from our gate. / https://webstore.trailways.com/ / TRAIN: AMTRAK to Rhinecliff Stop ID: RHIN. Closest stop is 50 minutes away from our gate. You must arrange a ride from Rhinecliff.  / TOWN CAR SERVICE: Woodstock Town Car woodstocktowncar.com (845) 679-6656 Cars, Limos Passenger Vans, service from NYC and Surrounding areas directly to our gate. / SMALL PLANES/HELICOPTER: Hunter Mountain Airport, ICAO: 97NY, 26 minutes from gate /  / -VJ LINEUP- / Releasing soon. /  / -ART ADVENTURES- / Releasing soon. /  / BRINGING AN ART CAR? please email [email protected] /  / -GENERAL INFO- / There is no vending at Country Club, and no vending is allowed. Bring everything you need for survival and well-being including shade, food and water. There are no showers on site, feel free to bring your solar shower. / You may bring your pets but please be mindful of them, as there are coyotes in the area. Most of the camping site is in the woods. / Country Club is minimally RV friendly. Limited number of RV passes available. The site does not offer RV hookups. / This is a LEAVE NO TRACE event. This means, leave the place you visit the same or better than you found it. Bring trash bags, and take your trash with you when you leave. / Children over the age of 9 will require a ticket.  / Ages 18-20 Must have guardian onsite at all time. /  / Please contact us at [email protected] for group family pricing / Disorient is a volunteer-run art collective. / – Disorient has very few rules, but two require declaration and elaboration: / 1. Respect personal boundaries. / 2. Take responsibility for your own experience. / The interplay of these two rules forms a social contract that makes our events safe places to explore your own boundaries while encouraging respect for each other. Talk to those around you about anything that makes you uncomfortable.",Releasing soon,https://www.residentadvisor.net/events/1375158,TBA - New York,new york,Nino Picnic Site,https://www.rei.com/campgrounds/camp/115201858/nino-picnic-site,34.2264,-118.1799,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,,
1846,ReSolute,5/28/2020,TBA,Zendid,https://www.residentadvisor.net/events/1401647,TBA - New York,new york,Paul Little Picnic Site,https://www.rei.com/campgrounds/camp/115201859/paul-little-picnic-site,34.2296,-118.1769,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,,
1847,Joe Wong + Nite Cre,5/28/2020,,"Joe Wong, Nite Creatures Live Band",https://www.residentadvisor.net/events/1401167,ures,new york,Los Angeles Gateway District,https://www.rei.com/campgrounds/camp/115201820/los-angeles-gateway-district,34.2941,-118.3616,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.7284254', '-73.9998816'
1848,DJ Boring,5/29/2020,$15.00 + $2.25Early bird,"HALL, └ DJ BORING",https://www.residentadvisor.net/events/1400245,Elsewhere,new york,Delta Flat Day Use Site,https://www.rei.com/campgrounds/camp/115205649/delta-flat-day-use-site,34.3034,-118.2596,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.709397', '-73.9231657'
1849,Higher Ground presents: Diplo - Postponed,5/29/2020,$39.99Early bird,Diplo,https://www.residentadvisor.net/events/1400990,Brooklyn Mirage,new york,Wildwood Picnic Site,https://www.rei.com/campgrounds/camp/115201894/wildwood-picnic-site,34.2944,-118.2407,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.7105692', '-73.9263982'
1850,Cristoph - Made Event & Gray Area,5/29/2020,$25.00 + $3.10Final release,Cristoph,https://www.residentadvisor.net/events/1382919,Quantum,new york,Stonyvale Picnic Site,https://www.rei.com/campgrounds/camp/115201892/stonyvale-picnic-site,34.2849,-118.2236,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.66958775', '-73.9955177593428'
1851,Bicep Live,5/30/2020,$25.001st release,Bicep,https://www.residentadvisor.net/events/1392905,Knockdown Center,new york,Vogel Flat Picnic Site,https://www.rei.com/campgrounds/camp/115201893/vogel-flat-picnic-site,34.2881,-118.2271,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.7152945', '-73.9136973'
1852,Zero presents... Carte Blanche Rooftop Party Opening,5/30/2020,$15.00 + $1.90BEFORE 10PM ONLY SUPER DISCOUNT,Very Quality Music ,https://www.residentadvisor.net/events/1396631,The W,new york,Echo Mountain Picnic Site,https://www.rei.com/campgrounds/camp/115201857/echo-mountain-picnic-site,34.2118,-118.1211,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.721411', '-73.958572'
1853,Teksupport: Mind Against (All Night Long),5/30/2020,Mind Against /  / ALL / NIGHT / LONG /  / +21 / [email protected] / instagram.com/teksupport / twitter.com/teksupportnyc,Mind Against,https://www.residentadvisor.net/events/1404479,99 Scott Ave,new york,Angeles National Forest Supervisor's Office,https://www.rei.com/campgrounds/camp/115210435/angeles-national-forest-supervisors-office,34.1481,-118.0338,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.652256', '-73.956582'
1854,Never Fake It: Seth Magoon & Mike Guimond,5/30/2020,Never Fake It: Seth Magoon & Mike Guimond,"Seth Magoon, Mike Guimond",https://www.residentadvisor.net/events/1353765,Le Bain,new york,Inspiration Point Interpretive Site,https://www.rei.com/campgrounds/camp/115201871/inspiration-point-interpretive-site,34.2215,-118.1094,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.7408533', '-74.0080841942828'
1855,Bing & Ruth,6/3/2020,,Bing & Ruth,https://www.residentadvisor.net/events/1391013,Le Poisson Rouge,new york,Theodore Roosevelt Home,https://www.rei.com/campgrounds/camp/115208172/theodore-roosevelt-home,40.8855,-73.5012,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.7284254', '-73.9998816'
1856,Lane 8 - Brightest Lights Tour (Friday),6/5/2020,$46.001st release **SOLD OUT**,Lane 8,https://www.residentadvisor.net/events/1328537,Brooklyn Mirage,new york,Fremont Campground,https://www.rei.com/campgrounds/camp/115196800/fremont-campground,34.5431,-119.8203,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.7105692', '-73.9263982'
1857,Eli Escobar: All Night Long - House of Yes Residency,6/5/2020,$20.00 + $2.501st release,Eli Escobar,https://www.residentadvisor.net/events/1369991,House Of Yes,new york,Paradise Campground,https://www.rei.com/campgrounds/camp/115196571/paradise-campground,34.5422,-119.8128,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.7007903', '-73.91255985'
1858,NYC Hip Hop vs. Reggae Midnight Yacht Party Jewel 2020,6/5/2020,$20.00 + $2.50Early bird,TOP NYC DJS,https://www.residentadvisor.net/events/1401740,Skyport Marina,new york,Los Prietos,https://www.rei.com/campgrounds/camp/115196701/los-prietos,34.5417,-119.8092,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.7440859', '-73.995641'
1859,Full Blast (Peter Brötzmann / Marino Pliakas / Michael Wertmüller) / John Wiese / Victoria Shen,6/5/2020,"Friday, May 8th, ISSUE returns to the First Unitarian Congregational Society in Brooklyn Heights to present an expansive program of liberated sound featuring Peter Brötzmann’s trio outfit Full Blast with Marino Pliakas & Michael Wertmüller, as well as new solo work by artist and composer John Wiese, and musician, visual artist, and instrument maker Victoria Shen. /  / Their first North American tour in almost a decade, Full Blast is known, out of all the projects Brötzmann is currently working on, as being the most consistent and the longest running. With the precise and dynamic Swiss rhythm section of Marino Pliakas (electric bass) and Michael Wertmüller (drums), the group is referred to by Brotzmann himself as simply “THE TRIO.” Full Blast frequently conjures the essence of Brötzmann's landmark early free recording Machine Gun in its visceral intensity, while also, in the words of Tim Niland, being “far more than Peter Brötzmann with a rhythm section, [but] a fully functioning band that is a group of equals that play together as comrades.” /  / John Wiese presents the U.S. premiere of a new 8 channel composition commissioned by Ina/GRM. Known for his individual approach at the intersection of American noise and modern composition, Wiese’s artistic practice crosses many disciplines, but often shares conceptual similarities to musique concrète and is expressed through fixed recorded works, diffusions, performance, and installations. In 2016, Wiese was invited to perform at the Ina/GRM’s Présences Électronique Festival along with a residency at their multi-channel studio in the basement of Radio France. /  / ISSUE is also pleased to present Victoria Shen performing new solo work, following her collaborative performance of “Laminals II” last year with 2019 Artist-In-Residence Charmaine Lee. Shen’s music floods its location acting as a form of sculpture. Her music features analog modular synthesizers (Flower Electronics), contact microphones, and other self-built electronics. These instruments are designed to electronically create chaotic systems, systems which are highly sensitive to small changes in their initial parameters. The resulting music eschews conventions in harmony and rhythm in favor of the extreme textures and gestural tones. /  / An aggressive, emotive free jazz trio, Full Blast is another project of reedman Peter Brötzmann's touring and recording configurations and includes the explosive rhythm section of Marino Pliakas on electric bass and Michael Wertmüller on drums. Wertmüller and Brötzmann toured with each other for years as a duo, and Wertmüller and Pliakas worked with each other frequently on various festival gigs, as well. The trio issued a debut album, the self-titled Full Blast, in 2006 on the German Jazzwerkstatt imprint, following it with Black Hole on Atavistic in 2009. Recently, they have released a series of records on TROST, including Sketches and Ballads (2011) also featuring Ken Vandermark and Dirk Rothbrus, Risc (2016), and Rio (2018). The group has toured consistently since fall of 2004, visiting the U.S., Canada, Brazil, Chile, Japan, China, UK, Ireland, Germany, Norway, Finland, Netherlands, Belgium, Portugal, Poland, Sweden, Denmark, Austria, Slovenia, Czechia, Slovakia, Hungary, Croatia, Italy, France, Spain, Serbia, Ukraine, Switzerland, Egypt, Israel, and Russia. They have also performed and many international contemporary jazz and new music festivals, concert halls, clubs, and venues worldwide. /  / John Wiese is an artist and composer living and working in Los Angeles and Cleveland. From his experiments with recording as a teenager, he has since gone on to work in the world of contemporary sound art and the international experimental community. His sounds can be completely serene and sublime while at the same time being as equally frenetic and irregular, a sign of the artist’s ability to adapt and utilize a wide palette to build captivating aural works. As a performer and recording artist, his expertise in composition, texture, and experimentation with sound confirm his reputation of being an original and innovative voice in experimental music. /  / Victoria Shen is a musician, visual artist, and instrument maker native to San Francisco and working out of New England. Shen's sound practice is concerned with the spatiality/physicality of sound and its relationship to the human body. Shen's multidisciplinary visual work operates within the space where science, technology, craft, and art history overlap. Shen has performed solo across North America, Japan, Mexico, and Europe as Victoria Shen and Evicshen and as half of the duo TRIM in North America and the UK. Some notable venues in which she has performed include Boston City Hall, the Solomon R. Guggenheim Museum, ISSUE Project Room NY, DOMMUNE Tokyo, and Petreon Sculpture Park Cyprus. Shen has also been an artist in residence at Elektronmusikstudion EMS Stockholm SE, WORM Rotterdam NL, Kurimanzutto New York US, and the Sound Laboratory of The Royal Danish Academy Copenhagen DK.","Full Blast (Peter Brötzmann / Marino Pliakas / Michael Wertmüller), John Wiese, Victoria Shen",https://www.residentadvisor.net/events/1403860,First Unitarian Congreg,new york,Sage Hill,https://www.rei.com/campgrounds/camp/115194724/sage-hill,34.5392,-119.7911,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.69500685', '-73.9929862'
1860,NYC Booze Cruise Glowsticks Yacht Party,6/5/2020,"Friday June 5th, 2020 - The Official Manhattan Booze Cruise Glowsticks Yacht party at Skyport Marinas located at 2430 Fdr Drive Service Road East New York, NY 10010 Join us at the Hottest Booze Cruise in New York with NYC Hottests Djs enjoying the Cities Skyline such as the Statue of Liberty, Brooklyn Bridge, Manhattan Bridge, Empire State Building and more! /  / Tickets are 20$ /  / Group of 5ppl discount 75$ /  / Groups of 5 Ladies Champagne with Admission 100$ /  / Boarding begins at 11:45pm and returns approx. 4am /  / LED Foams for the first 100 people! /  / ID is a Must. Drinks Bar onboard. 2 Floors of music with climate-controlled Main Floor and Upper Deck! /  / Hookah available! /  / For more ticket information on New York Glowsticks Yacht Party Night Booze Cruise at Skyport Marina call/ or text 3475920300 or log onto Gametightny.com /  / NYC Hottest #1 Yacht Parties power by Gametight NY: /  / jewelnycyachtparties.com /  / newyorkcityyachtparty.com /  / nycmidnightcruise.com /  / yachtpartycruise.com /  / Prices: / GT: NYC Blackout Yacht Party GA : USD 20.00, / GT: NYC Blackout Yacht Party Group of 5 : USD 75.00, / GT: Groups of 5 Ladies Champagne Bottle : USD 100.00 /  / Category: Nightlife, Nightclub",Not Specified,https://www.residentadvisor.net/events/1405515,Skyport Marina,new york,First Crossing Day Use Picnic Area,https://www.rei.com/campgrounds/camp/115206940/first-crossing-day-use-picnic-area,34.5458,-119.7781,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.7440859', '-73.995641'
1861,Lane 8 - Brightest Lights Tour (S,6/6/2020,$31.00Early bird **SOLD OUT**,Lane 8,https://www.residentadvisor.net/events/1391132,urday),new york,Lower Oso Day Use Picnic Area,https://www.rei.com/campgrounds/camp/115206860/lower-oso-day-use-picnic-area,34.5461,-119.7761,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.7105692', '-73.9263982'
1862,Zero presents... Monte Carlo Bo,6/6/2020,$45.00 + $5.60Early bird,Royale Line-Up ,https://www.residentadvisor.net/events/1396634,Celebr,new york,Upper Oso Campground,https://www.rei.com/campgrounds/camp/115194725/upper-oso-campground,34.5558,-119.7539,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.7613866', '-73.9148269'
1863,All Day I Dream Summer Season Opening,6/7/2020,$30.001st Release,TBA,https://www.residentadvisor.net/events/1394352,Brooklyn Mirage,new york,Red Rock,https://www.rei.com/campgrounds/camp/115206944/red-rock,34.5346,-119.7124,https://www.tripadvisor.com.br/Attractions-g60763-Activities-New_York_City_New_York.html,'40.7105692', '-73.9263982'
